dataset,seed,method,tau,alpha,beta,AA,Macro_F1,OA,Kappa,NLL
Pingan,42,R1,0.0,,0.5,0.769235955988765,0.6963876956663069,0.8931522850051102,0.8399441902329828,4.222003160749531
Pingan,42,R1,0.0,,0.75,0.7675458580373309,0.6791416207666148,0.8901737479924077,0.8357141128490255,4.245685272434081
Pingan,42,R1,0.0,,1.0,0.7661471753117708,0.6636551566881959,0.8867279894875164,0.8307931580092681,4.278912804970692
Pingan,42,R1,0.0,,1.5,0.7588329397367332,0.6335752511338211,0.8796028617316397,0.8205860095853351,4.374224138142453
Pingan,42,R1,0.0,,2.0,0.7517699389318888,0.611957525888928,0.873003358154475,0.8110989674611294,4.5055559299053565
Pingan,42,R1,0.25,,0.0,0.7665243488919359,0.7156955348262839,0.8963936341071689,0.8445755550814554,4.202172010951904
Pingan,42,R1,0.25,,0.25,0.7708185906534404,0.6998263871407614,0.8938531172433932,0.8410051244304715,4.2154393702107775
Pingan,42,R1,0.25,,0.5,0.768724330726507,0.6823018269667362,0.890670170827858,0.8364637010285279,4.237273862538059
Pingan,42,R1,0.25,,0.75,0.7673425849575681,0.6661640222082532,0.8873120163527523,0.831663328805265,4.268404206027795
Pingan,42,R1,0.25,,1.0,0.7626728481133359,0.6500882631701851,0.8836618484450285,0.8264237243993766,4.309102352558266
Pingan,42,R1,0.25,,1.5,0.7561036924755375,0.6231223248719344,0.8764783180026281,0.8161278832914594,4.4184045069829345
Pingan,42,R1,0.25,,2.0,0.7492554619027455,0.6059417617033691,0.870930062782888,0.8081264417249798,4.5619801326500005
Pingan,42,R1,0.5,,0.0,0.7715545263953009,0.7040995354528006,0.8946707548547234,0.8422382910781897,4.209437513772816
Pingan,42,R1,0.5,,0.25,0.7696547366482639,0.6855826577315127,0.8912249963498321,0.8372912271830756,4.229521332968096
Pingan,42,R1,0.5,,0.5,0.7680231148248543,0.6686086206678231,0.8878376405314644,0.8324518709549963,4.258627707962079
Pingan,42,R1,0.5,,0.75,0.7642248849635976,0.6532889621825315,0.8843042779967879,0.8273886621504161,4.297146521837211
Pingan,42,R1,0.5,,1.0,0.7610771785544213,0.6388735562191309,0.8806833114323259,0.8221991423249251,4.345045669262061
Pingan,42,R1,0.5,,1.5,0.7544527955076916,0.6156610492770922,0.8742590159147321,0.8129534226503426,4.467504143252592
Pingan,42,R1,0.5,,2.0,0.7477994984849418,0.6003779302122261,0.8688859687545627,0.8051976140653084,4.622653400068929
Pingan,42,R1,0.75,,0.0,0.7713712759761304,0.6899617128761711,0.892071835304424,0.8385543585333376,4.2223963896406875
Pingan,42,R1,0.75,,0.25,0.7689893416692409,0.6722799406680791,0.888450868739962,0.8333622342956878,4.249559149295383
Pingan,42,R1,0.75,,0.5,0.7657910685838593,0.6567212307687309,0.8850343115783326,0.8284736582357191,4.285952403463208
Pingan,42,R1,0.75,,0.75,0.7617315211940286,0.6414271842310184,0.8812381369542999,0.823015356815177,4.331643863633174
Pingan,42,R1,0.75,,1.0,0.7583177375155155,0.6268701988137372,0.87732515695722,0.8173842483811071,4.386369430207326
Pingan,42,R1,0.75,,1.5,0.75126893112271,0.6079774086217543,0.8716600963644328,0.8092115085871023,4.521177732880052
Pingan,42,R1,0.75,,2.0,0.7420448944775455,0.5916453911605408,0.8659950357716455,0.8010189295003535,4.687378976973904
Pingan,42,R1,1.0,,0.0,0.7704291693343126,0.6757677137808071,0.889297707694554,0.8346289009125376,4.241171717230738
Pingan,42,R1,1.0,,0.25,0.7664949091813085,0.659222600386147,0.885530734413783,0.8292040657469305,4.275501401126961
Pingan,42,R1,1.0,,0.5,0.7626462544261909,0.6433346100636508,0.8814425463571324,0.8233227401976655,4.319021274730332
Pingan,42,R1,1.0,,0.75,0.7592247752516368,0.6298406792947329,0.8779967878522412,0.8183727157134072,4.371547113814526
Pingan,42,R1,1.0,,1.0,0.7549189849003259,0.617913070190417,0.8746386333771353,0.8135223047267356,4.43267576449655
Pingan,42,R1,1.0,,1.5,0.7488301671293647,0.6013429213513277,0.8693823915900132,0.8059519901822463,4.579141224059272
Pingan,42,R1,1.0,,2.0,0.7363652928135858,0.5835499345337222,0.8632501095050372,0.7970479102152936,4.756022390537863
Pingan,42,R1,1.25,,0.0,0.7670605439536894,0.6620659853679335,0.8860271572492334,0.8299323688365147,4.26577172892521
Pingan,42,R1,1.25,,0.25,0.7629913677594011,0.6459575705236142,0.8819097678493211,0.824002172851654,4.3071648802557565
